field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID_EGSF22,F36,F45,ZA,ID_EGSFIR,Mstar,Fch1,dFch1,Fch2,dFch2,Fch3,dFch3,Fch4,dFch4,F24,dF24,Q24,F100,dF100,Q100,F160,dF160,Q160,F250,dF250,F350,dF350,F450,dF450,F500,dF500,F850_sh,dF850_sh,F850_d,dF850_d,F850,dF850,F1100,dF1100
miri6,215.054131,52.89869,0.03,0.018,0.017,0.013,,,,,,,,,,,4728.0,588.4254669567047,210.38317750953655,0.8700000000000006,1857,7.96,0.5642,0.1396,0.08457,0.1738,-0.7232,1.003,0.4166,0.9793,11.49,15.032,1,1.5819,1.6172,2,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.059406,52.902936,0.029,0.015,0.017,0.012,,,,,,,,,,,4936.0,448.74399825635203,126.79808782826143,0.5500000000000003,1971,9.29,0.5929,0.1344,0.466,0.164,1.682,1.001,0.02976,0.969,21.89,26.17,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.039589,52.888143,0.85,0.085,0.46,0.053,,,,,,,,,,,4864.0,1356.6948477862345,1141.07650112734,0.19000000000000003,1998,9.2,1.15,0.141,1.179,0.1677,0.1612,0.8481,0.784,0.828,6.768,5.9914,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.060048,52.903924,10.183,3.155,,,,,,,,,,,,,5136.0,423.8992460905012,152.49623727638485,0.6700000000000004,2049,9.59,0.5078,0.1204,0.3749,0.1456,0.417,0.8602,0.9949,0.8551,-0.9308,9.6117,2,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.052728,52.896298,6.232,0.157,5.158,0.094,,,,,,,,,,,5181.0,9973.288604135552,8735.315534500474,0.4200000000000002,2054,9.29,8.599,0.148,7.37,0.1828,5.181,0.9488,6.334,0.9574,21.87,11.118,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.033349,52.885182,0.029,0.014,0.013,0.012,,,,,,,,,,,5176.0,834.4411409427964,675.6591384951646,2.679999999999987,2062,8.72,0.6393,0.1396,0.4162,0.1583,-0.4251,0.8259,-1.075,0.7853,15.3,11.379,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.053217,52.899501,0.062,0.018,0.03,0.013,,,,,,,,,,,5283.0,437.23761679337963,436.02850991,3.319999999999973,2116,8.9,0.5336,0.1197,0.3439,0.1452,-0.3586,0.842,-0.1087,0.8267,0.1835,10.435,2,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.042793,52.891227,1.509,0.057,1.134,0.037,,,,,,,,,,,5210.0,2404.19463643353,2604.440086134463,1.430000000000001,2122,9.42,2.03,0.1348,2.154,0.1602,0.6688,0.8864,0.3545,0.8616,5.047,9.519,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.051943,52.899218,,,0.017,0.012,,,,,,,,,,,5528.0,240.62882763628997,255.98986175967195,2.6899999999999866,2225,8.27,0.5999,0.1212,0.4083,0.147,0.1128,0.8884,-0.9742,0.8655,10.33,10.754,1,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.052168,52.898615,1.853,0.059,1.606,0.037,,,,,,,,,,,5531.0,3143.6484903236596,3071.5187134379016,1.2300000000000009,2228,9.32,2.744,0.1267,2.604,0.1541,2.623,0.8985,2.396,0.8758,9.664,8.8807,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0
miri6,215.04182,52.891597,2.623,0.044,1.655,0.028,,,,,,,,,,,5544.0,3057.1897459229594,3673.5174018057287,1.7600000000000013,2231,9.97,2.422,0.1676,2.98,0.1954,3.535,1.205,2.204,1.135,6.112,9.2109,3,-99.0,100000000.0,1,-99.0,100000000.0,1,-99.0,100000000.0,-99.0,100000000.0,3.4151,6.0719,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,-99.0,100000000.0,0.89084,3.28
