field,ra,dec,f560w_uJy,f560w_uJy_err,f770w_uJy,f770w_uJy_err,f1000w_uJy,f1000w_uJy_err,f1280w_uJy,f1280w_uJy_err,f1500w_uJy,f1500w_uJy_err,f1800w_uJy,f1800w_uJy_err,f2100w_uJy,f2100w_uJy_err,ID,z_best,zbest,RA,DEC,IRAC_CH1_FLUX,IRAC_CH1_FLUXERR,IRAC_CH2_FLUX,IRAC_CH2_FLUXERR,IRAC_CH3_FLUX,IRAC_CH3_FLUXERR,IRAC_CH4_FLUX,IRAC_CH4_FLUXERR,IRAC_CH3_V08_FLUX,IRAC_CH3_V08_FLUXERR,Source,z,l_IRAC_58,f_IRAC_58,l_IRAC_80,f_IRAC_80,l_MIPS24,f_MIPS24,l_MIPS70,f_MIPS70,l_PACS_100,f_PACS_100,l_PACS_160,f_PACS_160,l_SPIRE_250,f_SPIRE_250,l_SPIRE_350,f_SPIRE_350,l_SPIRE_500,f_SPIRE_500
miri6,215.059406,52.902936,0.029,0.015,0.017,0.012,,,,,,,,,,,1971,4.167,4.167,215.0594335414,52.9029609106,0.592905819,0.134416535,0.466049135,0.163962841,1.68207741,1.00118864,0.152824283,0.956721842,1.69214976,1.21069288,1971,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.039589,52.888143,0.85,0.085,0.46,0.053,,,,,,,,,,,1998,1.676,1.676,215.039631551,52.888175395,1.14972174,0.141045302,1.17921698,0.167721316,0.161157131,0.848089337,0.792383432,0.76516819,-0.0765496343,0.981043994,1998,1.68,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.060048,52.903924,10.183,3.155,,,,,,,,,,,,,2049,3.86,3.86,215.0600717552,52.9039330056,0.507836699,0.120422482,0.374906451,0.145640343,0.416994065,0.860176146,1.10745275,0.812271535,0.157128185,1.01126099,2049,3.86,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.052728,52.896298,6.232,0.157,5.158,0.094,,,,,,,,,,,2054,0.403486,0.42,215.0527595506,52.8963084367,8.59860706,0.148042321,7.36987114,0.182755142,5.18120146,0.948812544,5.77801371,0.897057593,5.89029264,1.1039263,2054,0.42,0.0,0.0,7.92698,5.7784,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.033349,52.885182,0.029,0.014,0.013,0.012,,,,,,,,,,,2062,2.372,2.372,215.0333806283,52.8852023419,0.639307141,0.139572248,0.416249514,0.158325151,-0.425051898,0.825930238,-1.19537902,0.731672406,-0.898450911,0.962913811,2062,2.37,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.053217,52.899501,0.062,0.018,0.03,0.013,,,,,,,,,,,2116,1.785,1.785,215.0532434847,52.8995162459,0.533615232,0.119685955,0.343899161,0.14517054,-0.358574569,0.842045963,-0.225049466,0.780869305,-1.04147792,0.989101827,2116,1.79,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.042793,52.891227,1.509,0.057,1.134,0.037,,,,,,,,,,,2122,1.41,1.41,215.0428312995,52.8912468624,2.02987385,0.134784803,2.15406775,0.160204381,0.668802023,0.886364162,0.176899329,0.814365029,0.568078876,1.037449,2122,1.41,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.051943,52.899218,,,0.017,0.012,,,,,,,,,,,2225,1.278,1.278,215.0519850817,52.8992431366,0.599902868,0.121159025,0.408262789,0.14704977,0.112809978,0.88837868,-0.997544765,0.833206356,-0.298140675,1.05155027,2225,1.28,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.052168,52.898615,1.853,0.059,1.606,0.037,,,,,,,,,,,2228,1.174,1.174,215.0522036431,52.8986345197,2.7443068,0.126682982,2.60367346,0.154096887,2.62283206,0.898450911,2.13639975,0.832159579,2.68729472,1.05557919,2228,1.17,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miri6,215.04182,52.891597,2.623,0.044,1.655,0.028,,,,,,,,,,,2231,1.915,1.915,215.0418585887,52.8916163733,2.42207551,0.167560339,2.98045921,0.19543995,3.53538442,1.20464945,2.23584008,1.14932239,4.43182087,1.49070334,2231,1.92,0.0,0.0,0.0,0.0,23.844,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
